fill_fraction,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
0.0,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,3,2,60.0,1.0,0.2,1.5,100.0,1.0,-100.0,-1.0,638.0,3,2,-1.0,2.0,3,2,0,299.1999999999995,5,5,0
0.1,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,3,2,60.0,1.0,0.2,1.5,100.0,1.0,-100.0,-1.0,638.0,3,2,-1.0,2.0,3,2,0,296.0399999999996,5,5,0
0.2,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,3,2,60.0,1.0,0.2,1.5,100.0,1.0,-100.0,-1.0,638.0,3,2,-1.0,2.0,3,2,0,292.87999999999977,5,5,0
0.3,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,3,2,60.0,1.0,0.2,1.5,100.0,1.0,-100.0,-1.0,638.0,3,2,-1.0,2.0,3,2,0,289.71999999999997,5,5,0
0.4,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,3,2,60.0,1.0,0.2,1.5,100.0,1.0,-100.0,-1.0,638.0,3,2,-1.0,2.0,3,2,0,286.5599999999957,5,5,0
0.5,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,3,2,60.0,1.0,0.2,1.5,100.0,1.0,-100.0,-1.0,637.8,3,2,-1.0,2.0,3,2,0,283.3999999999959,5,5,0
0.75,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,3,2,60.0,1.0,0.2,1.5,100.0,1.0,-100.0,-1.0,637.6,3,2,-1.0,2.0,3,2,0,275.4999999999974,5,5,0
1.0,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,3,2,60.0,1.0,0.2,1.5,100.0,1.0,-100.0,-1.0,637.6,3,2,-1.0,2.0,3,2,0,267.5999999999967,5,5,0
0.0,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,16,9,7,56.25,2.0,0.125,1.2857142857142858,200.0,2.0,-300.0,-3.0,93.625,12,4,4.0,-2.0,9,7,0,329.3749999999984,26,16,0
0.1,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,16,9,7,56.25,2.0,0.125,1.2857142857142858,200.0,2.0,-300.0,-3.0,93.5625,12,4,4.0,-2.0,9,7,0,326.75624999999803,26,16,0
0.2,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,16,9,7,56.25,2.0,0.125,1.2857142857142858,200.0,2.0,-300.0,-3.0,93.375,12,4,4.0,-2.0,9,7,0,324.137499999999,26,16,0
